aid,name,website,createdOn,parent_org,segment,account_manager,cs_client_id,int_type
1NDKwgPuMS,Cheboygan Daily Tribune,www.cheboygannews.com,2016-10-06,Gatehouse,Elite,Dana Venino,68331587,1
iFODK152Yu,Chillicothe Constitution-Tribune,www.chillicothenews.com,2016-10-06,Gatehouse,Elite,Dana Venino,68331587,1
0b5vC19Pfl,Columbia Daily Herald,www.columbiadailyherald.com,2016-10-06,Gatehouse,Elite,Dana Venino,68331587,1
SBBv26ocXR,Crookston Times,www.crookstontimes.com,2016-10-06,Gatehouse,Elite,Dana Venino,68331587,1
oPXnV0nJUY,Canandaigua Daily Messenger,www.mpnnow.com,2016-10-07,Gatehouse,Elite,Dana Venino,68331587,1
ZtTR7uTCkE,Monmouth Daily Review Atlas,www.reviewatlas.com,2016-10-07,Gatehouse,Elite,Dana Venino,68331587,1
rbUtciYFZY,Devils Lake Journal,www.devilslakejournal.com,2016-10-07,Gatehouse,Elite,Dana Venino,68331587,1
WewNsAVlx7,Dodge City Daily Globe,www.dodgeglobe.com,2016-10-07,Gatehouse,Elite,Dana Venino,68331587,1
fqLlKt4pz7,Utica Observer-Dispatch,www.uticaod.com,2016-10-07,Gatehouse,Elite,Dana Venino,68331587,1
tBX0sf6Oku,Hannibal Courier-Post,www.hannibal.net,2016-10-07,Gatehouse,Elite,Dana Venino,68331587,1
IiWNtF2lON,Stitcher,stitcher.com,2016-10-12,"Midroll Media, LLC",Select,Dana Venino,68331601,1
6XaVJdxtMs,Brownwood Bulletin,www.brownwoodtx.com,2016-10-12,Gatehouse,Elite,Dana Venino,68331587,1
1dGuxOhFoi,Cherokee County News-Advocate,www.sekvoice.com,2016-10-12,Gatehouse,Elite,Dana Venino,68331587,1
AmiI19JrR5,Fall River Herald News,www.heraldnews.com,2016-10-14,Gatehouse,Elite,Dana Venino,68331587,1
Q4M5rhsGPu,The Hillsdale Daily,www.hillsdale.com,2016-10-14,Gatehouse,Elite,Dana Venino,68331587,1
nYrINno2dd,Hope Star,www.hopestar.com,2016-10-14,Gatehouse,Elite,Dana Venino,68331587,1
DxonTvzGrx,Houma Today,www.houmatoday.com,2016-10-14,Gatehouse,Elite,Dana Venino,68331587,1
68yONeHM48,Ionia Sentinel-Standard,www.sentinel-standard.com,2016-10-14,Gatehouse,Elite,Dana Venino,68331587,1
zteDqZhc6i,Journal-Standard,www.journalstandard.com,2016-10-14,Gatehouse,Elite,Dana Venino,68331587,1
ZaBIYC1p43,Kirksville Daily Express,www.kirksvilledailyexpress.com,2016-10-14,Gatehouse,Elite,Dana Venino,68331587,1
YCFNlS8dpu,Lake Sun,www.lakenewsonline.com,2016-10-14,Gatehouse,Elite,Dana Venino,68331587,1
FlOqvDAlyG,The Lincoln Courier,www.lincolncourier.com,2016-10-14,Gatehouse,Elite,Dana Venino,68331587,1
tH2DesdpRS,Linn County Leader,www.linncountyleader.com,2016-10-14,Gatehouse,Elite,Dana Venino,68331587,1
wra0dUAeUs,McPherson Sentinel,www.mcphersonsentinel.com,2016-10-14,Gatehouse,Elite,Dana Venino,68331587,1
zmAnt5zvpQ,MetroWest Daily News,www.metrowestdailynews.com,2016-10-14,Gatehouse,Elite,Dana Venino,68331587,1
zSz4pIvWCR,Midlothian Mirror,www.midlothianmirror.com,2016-10-17,Gatehouse,Elite,Dana Venino,68331587,1
hYFfKOIQZ3,Milford Daily News,www.milforddailynews.com,2016-10-17,Gatehouse,Elite,Dana Venino,68331587,1
tso63gfvdm,The Mineral Daily News-Tribune,www.newstribune.info,2016-10-17,Gatehouse,Elite,Dana Venino,68331587,1
